Pic_names,Geno,Treatment,ID,Leaf,DOY_128,DOY_129,DOY_130,DOY_131,DOY_132,DOY_133,DOY_134,DOY_135,DOY_136
CC_WW_17_leaf3,CC,WW,17,3,0.17,0.55,1.69,4.18,7.82,11.85,17.81,24.57,24.57
CC_WW_18_leaf3,CC,WW,18,3,NA,0.28,1.05,2.86,7.54,10.49,12.98,17.63,26.49
CC_WW_19_leaf3,CC,WW,19,3,0.27,0.74,2.43,5.48,8.76,9.8,20.23,18.14,28.02
CC_WW_28_leaf3,CC,WW,28,3,1.21,2.62,5.37,14.31,13.51,26.63,30.09,32,32
CC_WW_17_leaf4,CC,WW,17,4,NA,NA,0.15,0.55,2.14,5.13,8.95,14.31,20.065
CC_WW_18_leaf4,CC,WW,18,4,NA,NA,NA,0.35,1.55,3.23,7.23,12,16.87
CC_WW_19_leaf4,CC,WW,19,4,NA,NA,0.16,0.87,2.94,4.66,9.99,12.7,21.71
CC_WW_28_leaf4,CC,WW,28,4,NA,NA,1.29,4.3,7.99,15.04,16.62,21.59,21.59
CC_WW_17_leaf5,CC,WW,17,5,NA,NA,NA,NA,NA,0.33,1.04,2.79,7.59
CC_WW_18_leaf5,CC,WW,18,5,NA,NA,NA,NA,NA,NA,0.43,1.43,5.87
CC_WW_19_leaf5,CC,WW,19,5,NA,NA,NA,NA,NA,0.18,0.98,2.19,5.54
CC_WW_28_leaf5,CC,WW,28,5,NA,NA,NA,NA,1.17,2.53,5.42,9.1,9.1
CC_WW_17_leaf6,CC,WW,17,6,NA,NA,NA,NA,NA,NA,NA,0.27,1.28
CC_WW_18_leaf6,CC,WW,18,6,NA,NA,NA,NA,NA,NA,NA,0.21,0.89
CC_WW_19_leaf6,CC,WW,19,6,NA,NA,NA,NA,NA,NA,NA,0.42,1.15
CC_WW_28_leaf6,CC,WW,28,6,NA,NA,NA,NA,NA,0.56,1.95,3.79,3.79
CC_WW_17_leaf7,CC,WW,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_WW_18_leaf7,CC,WW,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_WW_19_leaf7,CC,WW,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_WW_28_leaf7,CC,WW,28,7,NA,NA,NA,NA,NA,NA,NA,0.55,0.55
CC_D1_39_leaf3,CC,D1,39,3,0.22,0.64,1.69,3.86,8.26,12.66,14.15,19.19,22.53
CC_D1_42_leaf3,CC,D1,42,3,0.69,1.61,4.42,9.03,10.85,13.94,12.39,14.67,19.02
CC_D1_49_leaf3,CC,D1,49,3,0.65,1.35,3.76,10.09,10.29,11.05,10.27,15.07,15.53
CC_D1_50_leaf3,CC,D1,50,3,0.42,0.84,2.58,10.51,12.81,17.17,10.61,23.84,24.18
CC_D1_55_leaf3,CC,D1,55,3,0.36,0.99,2.69,6.59,10.425,14.26,13.87,17.14,25.22
CC_D1_57_leaf3,CC,D1,57,3,0.43,1.13,3.34,7.46,14.47,17.11,15.06,21.65,21.44
CC_D1_62_leaf3,CC,D1,62,3,0.18,0.4,1.27,4.02,7.18,9.98,13.81,17.76,23.82
CC_D1_72_leaf3,CC,D1,72,3,NA,0.31,1.12,2.41,8.22,14.03,11.82,17.23,22.99
CC_D1_89_leaf3,CC,D1,89,3,NA,0.42,1.69,4.75,7.095,9.44,8.44,13.27,17.35
CC_D1_39_leaf4,CC,D1,39,4,NA,NA,0.14,0.56,2.295,4.03,6.51,15.38,18.21
CC_D1_42_leaf4,CC,D1,42,4,NA,NA,1.05,2.36,5.98,8.05,13.08,9.7,17.63
CC_D1_49_leaf4,CC,D1,49,4,NA,NA,0.62,2.29,6.19,6.48,7.53,11.15,14.45
CC_D1_50_leaf4,CC,D1,50,4,NA,NA,NA,0.81,3.14,5.15,5.52,11.86,18.25
CC_D1_55_leaf4,CC,D1,55,4,NA,NA,0.3,1.91,4.71,7.51,8.6,13.12,21.67
CC_D1_57_leaf4,CC,D1,57,4,NA,NA,NA,0.7,1.95,4.41,7.26,14.73,19.64
