Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
R500,D2,1,3,-0.1,9.8,138,pre
CC,D1,NA,NA,0.6,10.5,133,PD
R500,D1,3,1,1,10.9,137,pre
R500,D1,2,3,1.2,11.1,137,pre
R500,D2,1,2,1.4,11.3,138,pre
R500,D2,2,3,2.3,12.2,138,pre
R500,D1,3,2,2.6,12.5,137,pre
R500,D2,3,3,2.7,12.6,138,pre
R500,D1,2,1,2.9,12.8,137,pre
R500,D1,3,3,2.9,12.8,137,pre
R500,D2,3,2,3.2,13.1,137,pre
R500,D1,2,2,3.4,13.3,137,pre
CC,D1,2,3,3.5,13.4,133,post
CC,D2,2,3,4,13.9,135,pre
R500,D2,3,2,4.1,14,138,pre
R500,D2,3,1,4.3,14.2,138,pre
CC,D2,1,1,4.5,14.4,135,pre
R500,D2,2,1,4.5,14.4,138,pre
R500,D1,1,2,5,14.9,137,pre
CC,D2,NA,NA,5,14.9,135,MD
CC,D2,2,2,5.1,15,135,pre
R500,D2,NA,NA,5.1,15,140,MD
CC,D2,NA,NA,5.15,15.05,134,MD
CC,D1,3,2,5.2,15.1,133,post
R500,D1,1,3,5.2,15.1,137,pre
R500,D2,3,3,5.3,15.2,137,pre
CC,D2,2,1,5.6,15.5,135,pre
R500,D2,2,1,5.7,15.6,139,pre
CC,D2,NA,NA,6.2,16.1,135,MD
R500,D2,NA,NA,6.25,16.15,138,MD
CC,D1,NA,NA,6.4,16.3,133,MD
R500,D2,NA,NA,6.4,16.3,140,MD
CC,D1,2,1,6.5,16.4,132,pre
R500,D2,3,1,6.6,16.5,137,pre
R500,D2,2,2,6.6,16.5,138,pre
CC,D2,NA,NA,6.85,16.75,134,MD
R500,D2,1,3,6.9,16.8,138,post
R500,D2,NA,NA,6.9,16.8,138,MD
CC,D1,2,2,7.3,17.2,133,post
CC,D2,1,3,7.5,17.4,135,pre
R500,D2,2,3,7.5,17.4,137,pre
R500,D2,NA,NA,7.85,17.75,140,MD
CC,D1,1,1,7.9,17.8,133,post
R500,D2,NA,NA,7.95,17.85,140,MD
R500,D2,NA,NA,8.05,17.95,138,MD
CC,D1,1,3,8.2,18.1,133,post
R500,D2,NA,NA,8.25,18.15,138,PD
CC,D2,NA,NA,8.25,18.15,135,MD
R500,D1,NA,NA,8.5,18.4,135,MD
R500,D2,2,2,8.6,18.5,137,pre
R500,D1,NA,NA,8.65,18.55,135,MD
R500,D2,NA,NA,8.8,18.7,138,PD
CC,D1,1,2,8.9,18.8,133,post
R500,D1,1,3,9.1,19,135,pre
R500,D1,NA,NA,9.1,19,135,MD
CC,D1,3,3,9.2,19.1,133,post
CC,D1,NA,NA,9.4,19.3,133,MD
CC,D1,2,1,9.5,19.4,133,post
R500,D1,3,3,9.7,19.6,135,pre
R500,D1,NA,NA,9.75,19.65,135,MD
R500,D1,3,2,9.8,19.7,135,pre
CC,D2,3,1,9.8,19.7,135,pre
R500,D2,NA,NA,9.85,19.75,138,MD
R500,D1,NA,NA,9.9,19.8,135,PD
CC,D1,NA,NA,9.95,19.85,131,MD
CC,D2,1,2,10.1,20,135,pre
CC,D2,NA,NA,10.55,20.45,135,MD
R500,D1,NA,NA,10.7,20.6,135,MD
R500,D2,2,1,10.8,20.7,137,pre
CC,D1,NA,NA,10.8,20.7,133,MD
R500,D1,1,1,11,20.9,137,pre
