Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012060	0	1.59	-1.367	0.250716251	0	-0.912	-1.367	0.250716251	81	390	-1.367	2.16967048	1.086024306	10	1	-999	-999
2012060	0.5	1.273333	-1.775	0.240060847	0	0	-1.775	0.240060847	81	390	-1.775	1.975471686	1.085798611	10	1	-999	-999
2012060	1	1.585	-1.56	0.246427601	0	-0.912	-1.56	0.246427601	81	390	-1.56	2.074730435	1.085659722	10	1	-999	-999
2012060	1.5	1.653334	-2.023	0.229026727	0	0	-2.023	0.229026727	81	390	-2.023	1.854803439	1.08546875	10	1	-999	-999
2012060	2	1.903334	-1.632	0.244194604	0	0	-1.632	0.244194604	81	390	-1.632	2.036947644	1.085451389	10	1	-999	-999
2012060	2.5	1.066667	-2.19	0.223822672	0	0	-2.19	0.223822672	81	390	-2.19	1.772883134	1.085295139	10	1	-999	-999
2012060	3	1.168333	-2.462	0.213522003	0	0	-2.462	0.213522003	81	390	-2.462	1.643201598	1.084930556	10	1	-999	-999
2012060	3.5	1.228333	-2.588	0.211693519	0	-1.824	-2.588	0.211693519	81	390	-2.588	1.581272431	1.084392361	10	1	-999	-999
2012060	4	0.6250001	-3.328	0.191200585	0	0	-3.328	0.191200585	81	390	-3.328	1.230005719	1.083715278	10	1	-999	-999
2012060	4.5	0.5516667	-3.743	0.175886833	0	-0.912	-3.743	0.175886833	81	390	-3.743	1.031110383	1.082986111	10	1	-999	-999
2012060	5	1.32	-3.435	0.186055721	0	0	-3.435	0.186055721	81	390	-3.435	1.172530338	1.082326389	10	1	-999	-999
2012060	5.5	1.571667	-3.84	0.175354731	0	0	-3.84	0.175354731	81	390	-3.84	0.978757347	1.081684028	10	1	-999	-999
2012060	6	0.9416666	-4.753	0.147804471	0	0	-4.753	0.147804471	81	390	-4.753	0.545365749	1.081059028	10	1	-999	-999
2012060	6.5	1.33	-5.525	0.129723453	0	8.208	-5.525	0.129723453	81	390	-5.525	0.177560317	1.080399306	10	1	-999	-999
2012060	7	1.145	-5.143	0.139556843	0	90.288	-5.143	0.139556843	81	390	-5.143	0.35248743	1.079982639	10	1	-999	-999
2012060	7.5	1.316667	-3.993	0.167944568	0	252.624	-3.993	0.167944568	81	390	-3.993	0.889829425	1.08	10	1	-999	-999
2012060	8	1.121667	-1.977	0.219362615	0	460.56	-1.977	0.219362615	81	390	-1.977	1.835573849	1.080486111	10	1	-999	-999
2012060	8.5	1.055	-0.577	0.270710575	0	673.968	-0.577	0.270710575	81	390	-0.577	2.492304729	1.081440972	10	1	-999	-999
2012060	9	0.94	0.725	0.326710966	0	872.784	0.725	0.326710966	81	390	0.725	3.103374019	1.0828125	10	1	-999	-999
2012060	9.5	1.328333	1.29	0.352275921	0	1069.776	1.29	0.352275921	81	390	1.29	3.368057165	1.084600694	10	1	-999	-999
2012060	10	1.63	1.755	0.374051518	0	1235.76	1.755	0.374051518	81	390	1.755	3.585412711	1.086371528	10	1	-999	-999
2012060	10.5	1.678333	2.125	0.38116928	0	1368	2.125	0.38116928	81	390	2.125	3.75779774	1.087829861	10	1	-999	-999
2012060	11	1.498333	2.98	0.417456156	0	1484.736	2.98	0.417456156	81	390	2.98	4.158515185	1.0896875	10	1	-999	-999
2012060	11.5	1.49	3.675	0.450103885	0	1564.992	3.675	0.450103885	81	390	3.675	4.484377695	1.091805556	10	1	-999	-999
2012060	12	1.498333	4.525	0.495879719	0	1597.824	4.525	0.495879719	81	390	4.525	4.883264683	1.094652778	10	1	-999	-999
2012060	12.5	1.625	5.662	0.555628072	0	1600.56	5.662	0.555628072	81	390	5.662	5.417496859	1.097673611	10	1	-999	-999
2012060	13	1.37	6.385	0.60275667	0	1564.08	6.385	0.60275667	81	390	6.385	5.758337795	1.100885417	10	1	-999	-999
2012060	13.5	1.736667	8.34	0.726966881	0	1509.36	8.34	0.726966881	81	390	8.34	6.679996534	1.103923611	10	1	-999	-999
2012060	14	1.795	8.53	0.744498231	0	1416.336	8.53	0.744498231	81	390	8.53	6.771819907	1.107309028	10	1	-999	-999
2012060	14.5	2.405	9.85	0.917002461	0	1254.912	9.85	0.917002461	81	390	9.85	7.3963504	1.111024306	10	1	-999	-999
2012060	15	2.71	9.7	0.932893318	0	1101.696	9.7	0.932893318	81	390	9.7	7.33011819	1.114548611	10	1	-999	-999
2012060	15.5	2.286667	9.78	0.936967946	0	912.912	9.78	0.936967946	81	390	9.78	7.372271566	1.118142361	10	1	-999	-999
2012060	16	2.335	9.56	0.916793209	0	806.208	9.56	0.916793209	81	390	9.56	7.273996565	1.121857639	10	1	-999	-999
2012060	16.5	2.031667	9.15	0.886197021	0	529.872	9.15	0.886197021	81	390	9.15	7.089585335	1.125625	10	1	-999	-999
2012060	17	1.52	8.23	0.825237878	0	313.728	8.23	0.825237878	81	390	8.23	6.665670024	1.129565972	10	1	-999	-999
2012060	17.5	1.956667	7.67	0.802229037	0	107.616	7.67	0.802229037	81	390	7.67	6.410618804	1.133454861	10	1	-999	-999
2012060	18	1.38	6.482	0.735426041	0	10.944	6.482	0.735426041	81	390	6.482	5.859321285	1.137170139	10	1	-999	-999
