"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"1",1,0.766012951741696,59.56974,-0.5846575,-0.8631405,-1.59019,1.58221,31.200575,71.436825,359.05375,37.825575,0.140996731875,2.02147678476218,0.214623668105179,0.214874479166667,0.298694243622884,0.0806942067208333,0.0600646852083333,9.80441558333333e-06,25.1627516666667,25.16125,0.0050825725,5.27754458333333,7.11680854166667,3.238092875,2.46508147916667,3.32872125,1.19770915,2.053423125,1.95833020833333,1.99015145833333,0.4130953125,0.575317166666667,0.0115870925
"2",2,0.856209891824654,51.49146,-0.612948,-0.88079075,-1.4892,1.891993125,31.441575,68.68775,361.276,38.362325,0.152994463125,2.0417666161741,0.21287239053787,0.2144631875,0.298694261444579,0.0847340302708333,0.068248588125,1.1882757338125e-05,25.1669633333333,25.16125,0.0050825725,5.25372708333333,7.08337291666667,3.17799460416667,2.4240113125,3.28722833333333,1.20378349166667,2.01420229166667,1.95834,1.99718729166667,0.4131283125,0.575285041666667,0.0115864475
"3",3,0.441046384040412,51.29952,-0.62286625,-0.87649225,-1.172285,1.89154145833333,30.69295,66.859425,363.25625,31.49685,0.0593117700416667,0.709419615768331,0.21305067286968,0.214165520833333,0.298694438597759,0.0315480085416667,0.02764769946875,8.42250607083333e-06,25.16918,25.16125,0.0050825725,5.22702770833333,7.05874333333333,3.11902795833333,2.39492797916667,3.243666875,1.21740720833333,1.97705291666667,1.95834,1.99725,0.413146,0.575268,0.0115861
"4",4,0.633664038180195,51.18554,-0.59255175,-0.86466225,-1.456275,1.89671916666667,29.517325,65.028175,364.984,40.916425,0.120004830041667,1.49832926834248,0.216130888531133,0.213974625,0.298694653796719,0.06990130875,0.0489672861895833,9.48129654166667e-06,25.16918,25.16125,0.0050825725,5.19510416666667,7.03313666666667,3.0609735,2.38297783333333,3.20755229166667,1.2306721875,1.94579416666667,1.95834,1.99725,0.413146,0.575268,0.0115861
"5",5,0.958759988004063,51.63636,-0.612861,-0.86583025,-1.6835725,1.893606875,29.43235,63.5587,366.46275,40.012425,0.187729423395833,2.42752332200761,0.215061597885354,0.213590229166667,0.298694704428452,0.108189007708333,0.0787259374375,1.28178695229167e-05,25.171449375,25.16125,0.0050825725,5.16477104166667,7.00360645833333,3.00415216666667,2.371026,3.18380916666667,1.24347667708333,1.921101875,1.95834,1.99730541666667,0.413162333333333,0.575251770833333,0.011585775
"6",6,1.17179081701005,51.7337,-0.65033275,-0.8838985,-1.6661275,1.88755354166667,29.54445,62.769325,367.67925,33.40345,0.213627086458333,2.48994539637317,0.212533286576224,0.2130490625,0.298694710098321,0.120258969166667,0.0933260108333333,1.45920413958333e-05,25.1795866666667,25.16125,0.0050825725,5.139025625,6.972294375,2.94925327083333,2.34976010416667,3.16304458333333,1.2557669125,1.90025229166667,1.95834,1.99751604166667,0.413224104166667,0.575190895833333,0.01158455125
"7",7,1.45528341306692,51.94426,-0.696604,-0.9111825,-1.693,1.87984645833333,29.326175,62.229575,368.7355,27.210175,0.221416447916667,2.43627860673813,0.20986772129113,0.212432395833333,0.298694704375852,0.120007868125,0.1013930125,1.55674277083333e-05,25.1927679166667,25.16125,0.0050825725,5.115421875,6.93933208333333,2.896101625,2.32420729166667,3.14589333333333,1.26735592291667,1.88254895833333,1.95834,1.99786020833333,0.413326,0.5750915,0.0115825470833333
"8",8,1.21404527386888,52.21008,-0.745331,-0.9307925,-1.6061,1.86618875,28.890525,61.688975,369.71575,28.8877,0.193641550833333,2.36803282261841,0.207400685527382,0.211789208333333,0.298694703676072,0.0967222112291667,0.0977011145833333,1.58664225e-05,25.207378125,25.16125,0.0050825725,5.08846979166667,6.90562375,2.84404741666667,2.3123070625,3.128918125,1.27819746666667,1.86492708333333,1.95834,1.99824729166667,0.4134395625,0.5749800625,0.0115803022916667
"9",9,0.662937380330585,52.55682,-0.77816975,-0.9248175,-1.4324575,1.85224,28.43965,61.142,370.72825,37.68535,0.0937618822916667,1.59397002613137,0.205879859530556,0.211310604166667,0.298694705055109,0.0398535147916667,0.054981296875,1.32721829166667e-05,25.2142052083333,25.16125,0.0050825725,5.05653729166667,6.87119958333333,2.79270589583333,2.31095710416667,3.11220270833333,1.28828032916667,1.84396791666667,1.95834,1.99843229166667,0.413493729166667,0.574926770833333,0.0115792339583333
"10",10,0.511146828722789,52.66174,-0.77543725,-0.934883,-1.2952675,1.855511875,27.73805,60.406125,371.72325,33.7279,0.065320240875,0.958281293423102,0.206962036376297,0.211035333333333,0.298695068430244,0.026921979875,0.039002190625,1.05907260416667e-05,25.214795625,25.16125,0.0050825725,5.0220075,6.83474833333333,2.74214275,2.31336975,3.10188791666667,1.2976162,1.82283541666667,1.95834,1.99845,0.413499,0.574922,0.0115791360416667
"11",11,0.232179061751063,51.40952,-0.714593,-0.90063675,-1.05048075,1.8771575,26.90295,59.52275,372.57125,33.042775,0.038351214375,0.616991380488179,0.212530685740625,0.210904416666667,0.298695641705756,0.0202159110833333,0.01763916125,8.53564729166667e-06,25.21482,25.16125,0.0050825725,4.98714729166667,6.796564375,2.6924488125,2.31623064583333,3.097154375,1.30621479791667,1.80228708333333,1.95834,1.99845,0.413499,0.574922,0.01157913
"12",12,0.473770435465078,50.80808,-0.66325025,-0.87787,-1.3819025,1.88740375,26.25005,58.496475,373.22575,55.5636,0.120865412708333,1.46769873044146,0.217901066818412,0.210790895833333,0.298695950122496,0.0736200791666667,0.0462883416666667,1.0776937625e-05,25.2157316666667,25.16125,0.0050825725,4.95300895833333,6.75704895833333,2.6437645,2.31800116666667,3.09671208333333,1.31409336458333,1.78334166666667,1.95834,1.9984725,0.413505645833333,0.574915416666667,0.011579
"13",13,1.21195044229051,51.78228,-0.69680675,-0.8952235,-1.7892375,1.880228125,26.864125,57.86045,373.7585,33.5929,0.226720722916667,2.6889562293515,0.216360678836021,0.2103483125,0.298696028296884,0.13120319375,0.0945708042291667,1.58859022916667e-05,25.2224479166667,25.16125,0.0050825725,4.92199604166667,6.71754708333333,2.59661925,2.31459877083333,3.09617604166667,1.32121739166667,1.76809166666667,1.95834,1.998646875,0.413556270833333,0.574865520833333,0.0115779983333333
"14",14,1.45940492348058,52.05042,-0.73730325,-0.920599,-1.73469,1.865040625,27.3376,57.787475,374.17825,27.75715,0.237604347916667,2.60495554319778,0.21341883519306,0.209705270833333,0.298696028254013,0.126475075,0.110972495208333,1.76724125e-05,25.2367735416667,25.16125,0.0050825725,4.89317145833333,6.678526875,2.55096277083333,2.30789445833333,3.095300625,1.32752694791667,1.75475875,1.95834,1.99902270833333,0.413667083333333,0.574757208333333,0.0115758127083333
"15",15,1.68405138105285,52.58682,-0.782767,-0.97080275,-1.8399475,1.84828958333333,27.448825,57.8602,374.63775,25.3039,0.25207149375,2.53716819186011,0.210505031824255,0.208941375,0.298696028976023,0.1229860545625,0.129257727083333,1.9580021875e-05,25.2524195833333,25.16125,0.0050825725,4.865941875,6.63996,2.50619291666667,2.29921258333333,3.09405,1.33301059791667,1.742855625,1.95834,1.999440625,0.413789125,0.574637479166667,0.011573403125
"16",16,1.82403261439285,53.07696,-0.83260575,-0.97835875,-1.9539375,1.8323,27.4418,57.901525,375.17025,23.93555,0.254675066666667,2.46936247933052,0.20773055983918,0.2080979375,0.298696025259411,0.115298822291667,0.139904385416667,2.08645641666667e-05,25.2664454166667,25.16125,0.0050825725,4.83933395833333,6.601746875,2.462444375,2.28927845833333,3.09242625,1.33767425833333,1.73094833333333,1.95834,1.99981520833333,0.413899354166667,0.574529541666667,0.011571228125
"17",17,1.64765260535511,53.14064,-0.887902,-1.00577175,-1.7952,1.81704895833333,27.3745,57.8738,375.735,23.788375,0.24393787375,2.44324127041822,0.205176696984209,0.207206541666667,0.29869602709797,0.101065780208333,0.143501441458333,2.1994399375e-05,25.2801783333333,25.16125,0.0050825725,4.81372208333333,6.56385416666667,2.41974852083333,2.27703402083333,3.09044145833333,1.34152605833333,1.71941958333333,1.95834,2.00018291666667,0.4140071875,0.574423708333333,0.011569098125
"18",18,1.64672011019154,53.47628,-0.9502205,-1.0407975,-1.80692,1.798430625,27.2809,57.786425,376.2985,22.79295,0.23153119375,2.35707084367484,0.202945747527311,0.206289083333333,0.29869602830195,0.083229965,0.14850983125,2.26543791666667e-05,25.2948775,25.16125,0.0050825725,4.78845416666667,6.52644208333333,2.37809658333333,2.26414147916667,3.08808229166667,1.34455397083333,1.708575,1.95834,2.00057833333333,0.414122666666667,0.5743104375,0.0115668164583333
"19",19,0.926293623855198,54.61094,-0.99951525,-1.0595675,-1.605175,1.77268958333333,26.90125,57.618425,376.87375,28.2929,0.133714170833333,2.10353604715463,0.20166199693763,0.205449125,0.298696024780141,0.027407606,0.100890969375,2.11585091666667e-05,25.3084195833333,25.16125,0.0050825725,4.76220291666667,6.48937770833333,2.337432,2.253140125,3.08622270833333,1.34673580625,1.696386875,1.95834,2.00094416666667,0.414229729166667,0.574205479166667,0.0115647039583333
"20",20,0.616017944137738,55.44724,-1.0202225,-1.05674,-1.4738525,1.7577575,26.560375,57.323,377.574,26.72975,0.0768433847916667,1.24521023732199,0.201217773023193,0.2049776875,0.298696029369777,0.00988173747916667,0.063119383125,1.91172697916667e-05,25.3138795833333,25.16125,0.0050825725,4.73142083333333,6.45041333333333,2.29749564583333,2.25066702083333,3.0907175,1.34812201041667,1.681104375,1.95834,2.00109354166667,0.414273208333333,0.574162833333333,0.0115638379166667
"21",21,0.731275438195564,55.03902,-1.0382725,-1.073065,-1.59256,1.745438125,26.107775,56.83665,378.25325,31.076825,0.0930129958541667,1.51704528712378,0.200927715154153,0.204560395833333,0.298696022673307,0.0128193385895833,0.0727495817291667,2.128360925e-05,25.3151702083333,25.16125,0.0050825725,4.699475,6.41060541666667,2.25823504166667,2.25043545833333,3.0963475,1.34882035208333,1.666485625,1.95834,2.00112541666667,0.414282875,0.574153416666667,0.0115636502083333
"22",22,1.11755213749163,54.93404,-1.07163,-1.0933,-1.94511,1.72070895833333,26.3289,56.425775,378.79225,30.555575,0.177708419166667,2.34667045977973,0.200295631123387,0.203976791666667,0.298696023346029,0.04481613675,0.121749159375,2.77167533333333e-05,25.3216475,25.16125,0.0050825725,4.66925291666667,6.37075208333333,2.21991095833333,2.24693745833333,3.10175395833333,1.34882748541667,1.65387645833333,1.95834,2.001293125,0.414331604166667,0.574105729166667,0.0115626935416667
"23",23,1.45296363835581,55.5224,-1.125235,-1.150625,-2.06426,1.681610625,26.7532,56.428475,379.194,25.137575,0.2095181,2.46199771171165,0.199358339109604,0.20312775,0.298696026689088,0.0481013076666667,0.151616827083333,3.2679355625e-05,25.337048125,25.16125,0.0050825725,4.64265291666667,6.331323125,2.18259341666667,2.23670222916667,3.10688,1.34807714583333,1.64338604166667,1.95834,2.00169791666667,0.414450666666667,0.573989104166667,0.011560343125
"24",24,1.72560121881346,56.0748,-1.1880175,-1.2325825,-2.1216275,1.63729229166667,26.814875,56.53545,379.59225,21.310725,0.229807952083333,2.2506730316872,0.198351067656381,0.2021031875,0.298696026253955,0.0499975667291667,0.170720122916667,3.78813272916667e-05,25.3520785416667,25.16125,0.0050825725,4.619115625,6.29251708333333,2.14607202083333,2.22107252083333,3.11166166666667,1.34647672708333,1.63422354166667,1.95834,2.00210375,0.41456925,0.5738728125,0.0115580022916667
"25",25,1.96748000531716,56.72326,-1.260135,-1.3152425,-2.191995,1.58729375,26.62415,56.515975,380.004,18.38935,0.232045397916667,2.13020516431352,0.197303264285246,0.200980270833333,0.29869602535246,0.0477213991666667,0.179662702083333,4.3204836875e-05,25.3622445833333,25.16125,0.0050825725,4.597581875,6.25432229166667,2.110413875,2.20176797916667,3.11606083333333,1.3439693875,1.62550166666667,1.95834,2.002386875,0.414651916666667,0.573791645833333,0.01155636625
"26",26,2.29898388906003,57.34004,-1.3360725,-1.3878,-2.1922775,1.53325875,26.388375,56.383725,380.4035,14.503,0.218072282708333,1.79394243312768,0.196255169583816,0.199873291666667,0.298696029643925,0.0541683241875,0.163221893125,4.46541286666667e-05,25.3673027083333,25.16125,0.0050825725,4.57757791666667,6.21663833333333,2.07556952083333,2.17937166666667,3.12006770833333,1.34053257291667,1.61689958333333,1.95834,2.002543125,0.414697625,0.573747020833333,0.011555466875
"27",27,1.82495869134654,58.12502,-1.4071625,-1.43241,-2.1830275,1.48031791666667,26.115425,56.119225,380.7775,16.8075,0.190622655416667,1.95460604975328,0.195190110210638,0.198965416666667,0.298696025902659,0.0354048514583333,0.153595227916667,5.0839934375e-05,25.36781125,25.16125,0.0050825725,4.55838979166667,6.179286875,2.04150404166667,2.15509797916667,3.12363666666667,1.3361016375,1.60782458333333,1.95834,2.00257583333333,0.414707166666667,0.5737374375,0.0115552772916667
"28",28,1.6588989986089,58.61668,-1.4731975,-1.5297925,-2.2891875,1.43640208333333,26.1119,55.8754,381.11475,18.6986,0.204971779166667,2.12619096581106,0.194650477730137,0.197904083333333,0.298696027931831,0.0285667995833333,0.167396572916667,5.855523625e-05,25.3746241666667,25.16125,0.0050825725,4.53688708333333,6.14221375,2.00824047916667,2.1363426875,3.12671375,1.33067156041667,1.600246875,1.95834,2.00276875,0.414763604166667,0.573682291666667,0.0115541652083333
