"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"1",1,0.709110002383104,57.6416,-0.54044575,-0.86086125,-2.9202275,6.45331791666667,31.074475,71.016025,356.28775,109.133,0.3487430775,2.12667222827154,0.213332789607278,0.214637791666667,0.309532605212112,0.18652832625,0.146596248541667,0.0154604825075446,22.6471029166667,22.64513,5.03225503225,4.82869,6.66824875,4.137459375,2.25514233333333,3.1186225,1.67361458333333,2.05357833333333,1.95833020833333,2.06444479166667,0.3651175625,0.521494979166667,0.113387339791667
"2",2,0.804564461644133,49.34092,-0.605279,-0.88543225,-2.7660725,7.718909375,31.28345,67.68075,359.037,110.932,0.380183735,1.93885673338042,0.209332709911644,0.213638375,0.309532522999858,0.195591472708333,0.16597169375,0.019530410125,22.6523235416667,22.64513,5.03225503225,4.8075025,6.63865708333333,4.08030854166667,2.2168825625,3.07921479166667,1.6742985625,2.01255083333333,1.95834,2.07176625,0.365159354166667,0.521460541666667,0.113379924375
"3",3,0.419160044463085,49.86398,-0.6477245,-0.89436075,-1.829535,7.70674666666667,30.337975,65.4828,361.3675,85.575,0.142243664104167,0.626403322615938,0.207797969644738,0.212901625,0.309532537618413,0.069630634,0.0653717445833333,0.0101879897083333,22.6547,22.64513,5.03225503225,4.78338770833333,6.6179525,4.025509375,2.1919951875,3.03814979166667,1.68153697916667,1.97300229166667,1.95834,2.07183,0.365179,0.521444,0.11337666
"4",4,0.596676841710225,49.5604,-0.63822825,-0.88636625,-2.4614825,7.70343395833333,28.919875,63.3784,363.34125,100.391675,0.265121694583333,1.29511021372496,0.209389263714792,0.212384270833333,0.309532353289906,0.13629743125,0.118478530604167,0.0141068938958333,22.6547033333333,22.64513,5.03225503225,4.753828125,6.59445208333333,3.97262541666667,2.18450575,3.00799666666667,1.68860535416667,1.94033666666667,1.95834,2.07183,0.365179,0.521444,0.11337666
"5",5,0.874950852005409,49.90482,-0.70222875,-0.92335125,-3.2680825,7.645541875,28.57575,61.621575,364.93475,126.229,0.467932352125,2.72020934481034,0.206419618822752,0.211352041666667,0.309532184948824,0.227053205208333,0.225621866666667,0.0248501204375,22.65818625,22.64513,5.03225503225,4.726400625,6.56702958333333,3.92089125,2.1736293125,2.98646083333333,1.6954521875,1.91698604166667,1.95834,2.071915,0.3652050625,0.521422791666667,0.113371976458333
"6",6,1.06530079787877,50.60496,-0.8210715,-1.01711,-3.5799875,7.52841,28.97495,60.701725,366.15075,119.69375,0.572100224166667,3.1781682338422,0.201414543864047,0.209697979166667,0.309531894909236,0.244312498333333,0.306594789583333,0.0351204183333333,22.6724252083333,22.64513,5.03225503225,4.702386875,6.53751375,3.87050729166667,2.15668977083333,2.96921458333333,1.7023888125,1.9005075,1.95834,2.07227770833333,0.365316583333333,0.521331541666667,0.113352024166667
"7",7,1.34078651961903,51.87646,-0.98755375,-1.1456625,-3.86987,7.34047583333333,29.14035,60.315925,367.12625,99.223175,0.625165010416667,3.23410166662391,0.196612822441761,0.207512041666667,0.309531500701812,0.182029575,0.389902875,0.044220425,22.7009304166667,22.64513,5.03225503225,4.67771958333333,6.507266875,3.82217458333333,2.14714864583333,2.95285395833333,1.710382625,1.88803791666667,1.95834,2.073016875,0.365542375,0.521146,0.113311711666667
"8",8,1.15171387071543,53.0246,-1.1269625,-1.2963425,-3.7581625,7.15203104166667,28.911525,60.0232,368.04375,104.212125,0.560215162708333,2.89687701921058,0.193824061490289,0.205028979166667,0.309531026245766,0.127117452083333,0.372946510416667,0.0468515685416667,22.7346339583333,22.64513,5.03225503225,4.65119354166667,6.47443895833333,3.77672916666667,2.14299927083333,2.94709458333333,1.7182768125,1.87303083333333,1.95834,2.07390166666667,0.365813229166667,0.520923479166667,0.113263283541667
"9",9,0.628519812696005,55.28876,-1.2348325,-1.4541175,-2.9168975,6.99977208333333,28.47505,59.6791,369.139,97.549625,0.224241349583333,1.45215408263038,0.19224002107802,0.203232020833333,0.309530615215643,0.000473106875000001,0.197019090208333,0.02616791,22.7461539583333,22.64513,5.03225503225,4.620758125,6.43976395833333,3.73287458333333,2.1439425625,2.94662104166667,1.7254648125,1.84946520833333,1.95834,2.07421229166667,0.365908708333333,0.520845166666667,0.113246411666667
"10",10,0.484603130249402,56.03544,-1.21254,-1.486285,-2.43738,7.08921979166667,27.3423,58.916175,370.3225,84.376875,0.15034908825,0.86781389668989,0.193930542873063,0.202226625,0.309530612317941,0.00133840270833333,0.130752877083333,0.0196972366666667,22.746708125,22.64513,5.03225503225,4.58801208333333,6.40354541666667,3.68860145833333,2.14791535416667,2.94592625,1.7319624375,1.82704,1.95834,2.07423,0.365914,0.520841,0.11324581
"11",11,0.219769410536397,56.65146,-1.0955875,-1.283275,-1.6912175,7.33144208333333,26.3324,57.851975,371.325,83.915475,0.0876005220833333,0.58215755060474,0.199197433114179,0.20166525,0.309530514494995,0.0139063616666667,0.0615635214583333,0.0154043216666667,22.74672,22.64513,5.03225503225,4.55466604166667,6.36602875,3.64374083333333,2.15315502083333,2.94568479166667,1.73775216666667,1.80595729166667,1.95834,2.07423,0.365914,0.520841,0.11324581
"12",12,0.421377146749979,51.08242,-1.00307125,-1.1890975,-2.5291875,7.39049,25.5838,56.6761,372.0755,161.504,0.31526830875,1.78623278524803,0.203399688257507,0.201150479166667,0.309530088794754,0.14710388875,0.150495742708333,0.0306947591666667,22.7484808333333,22.64513,5.03225503225,4.52189208333333,6.32610333333333,3.59881375,2.15774033333333,2.952070625,1.74271925,1.78712,1.95834,2.07427291666667,0.365926875,0.5208303125,0.113243281458333
"13",13,1.09786511571691,51.07354,-1.14649,-1.2449825,-3.9066825,7.267635625,26.3613,55.9915,372.6235,112.655,0.574596245833333,3.44619870407014,0.199631538469763,0.199770958333333,0.309529635793454,0.271511019583333,0.2793193375,0.0540873564583333,22.762380625,22.64513,5.03225503225,4.49140645833333,6.28570625,3.55459833333333,2.15915075,2.96004520833333,1.7467235625,1.77352583333333,1.95834,2.07462416666667,0.366034229166667,0.520742041666667,0.11322392625
"14",14,1.34501548846278,52.4871,-1.35742,-1.4200525,-4.17757,6.97478333333333,27.352,56.08575,372.9995,95.2627,0.626133352083333,3.62210314145685,0.194077008144752,0.197843895833333,0.309528993559186,0.241352649791667,0.34121481875,0.0707473495833333,22.7950210416667,22.64513,5.03225503225,4.46271520833333,6.24595895833333,3.51225666666667,2.15841589583333,2.96765833333333,1.74989622916667,1.76247375,1.95834,2.07547020833333,0.366292541666667,0.5205296875,0.113177672708333
"15",15,1.55040991419578,54.67242,-1.6350325,-1.7375625,-4.5984325,6.52170083333333,27.918075,56.543925,373.4425,81.475275,0.641521245208333,3.71855747481636,0.189782266593857,0.19549425,0.309528140943126,0.156335037520833,0.39624631875,0.09141005625,22.8380929166667,22.64513,5.03225503225,4.43549145833333,6.20692979166667,3.47204375,2.15564091666667,2.974891875,1.7522465625,1.750453125,1.95834,2.07659145833333,0.366634645833333,0.520248645833333,0.113116594583333
"16",16,1.68433595245099,56.26244,-1.895495,-2.0174275,-4.939965,6.0965825,28.20295,57.039575,374.06825,71.829425,0.611241595208333,3.60420474158431,0.187160966345967,0.193021625,0.309527101878658,0.0997637770833333,0.396956610416667,0.107338855625,22.8808158333333,22.64513,5.03225503225,4.408549375,6.16844145833333,3.433633125,2.15195204166667,2.9822275,1.75374858333333,1.73564020833333,1.95834,2.077710625,0.366975583333333,0.519968708333333,0.113055750416667
"17",17,1.55177929366879,57.82336,-2.1461275,-2.2893925,-4.8905575,5.71062270833333,28.29315,57.4234,374.8505,71.08785,0.575227409791667,3.58253123720145,0.185463804311025,0.190562958333333,0.309525899302327,0.062739517125,0.384012078125,0.123867919166667,22.9237625,22.64513,5.03225503225,4.38183083333333,6.129378125,3.39646875,2.14738352083333,2.993118125,1.75429627083333,1.72053020833333,1.95834,2.07883125,0.367317041666667,0.519688166666667,0.112994736875
"18",18,1.5584646817851,59.20056,-2.40739,-2.552415,-5.062955,5.329475,28.381825,57.673975,375.73375,66.0981,0.550184260416667,3.46727028089071,0.184219105962484,0.188209458333333,0.309524513383194,0.0547437204166667,0.3568986125,0.143111645833333,22.9701404166667,22.64513,5.03225503225,4.355160625,6.09041229166667,3.360234375,2.1422859375,3.00452666666667,1.75347945833333,1.70563541666667,1.95834,2.08004395833333,0.367685833333333,0.519385354166667,0.112928910208333
"19",19,0.900702718248464,60.92248,-2.5994075,-2.7925475,-4.56084,5.03761979166667,27.95095,57.776725,376.72,82.349325,0.330715704375,2.51108917792007,0.183565707330991,0.186392729166667,0.309523093031289,0.0355207184604167,0.193382650416667,0.106730046666667,23.0107320833333,22.64513,5.03225503225,4.32780708333333,6.0516025,3.32472,2.1382125625,3.01559166666667,1.7513664375,1.69098854166667,1.95834,2.08111895833333,0.3680125,0.519116958333333,0.112870600208333
