"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"1",1,0.765159170060169,60.04678,-0.5296195,-0.86114275,-1.5878625,1.58262083333333,31.165425,71.020725,356.29125,38.52095,0.143929950208333,2.03298489300543,0.214362772507963,0.214880770833333,0.309532605962816,0.0756789662083333,0.0581829545833333,0.00992630675273562,22.6466820833333,22.64513,5.03225503225,4.82864208333333,6.66820416666667,4.13746270833333,2.25518795833333,3.11863208333333,1.67361458333333,2.04943291666667,1.95833020833333,2.06443333333333,0.365114416666667,0.521497520833333,0.113387977083333
"2",2,0.855389967911314,52.13768,-0.55317775,-0.87812275,-1.48675,1.89621729166667,31.243675,67.7028,359.0975,39.317075,0.156988068541667,2.04835456601106,0.212784601558734,0.2144840625,0.309532566720381,0.0789679185416667,0.0654696760416667,0.0125505104791667,22.6510272916667,22.64513,5.03225503225,4.80699458333333,6.637848125,4.08039291666667,2.21724614583333,3.079254375,1.67429860416667,2.0016175,1.95834,2.07173333333333,0.365149104166667,0.521469083333333,0.113381946041667
"3",3,0.440368667790425,52.6991,-0.5617795,-0.872845,-1.169525,1.89495083333333,30.328425,65.509675,361.487,32.6919,0.0617606257291667,0.708282780533637,0.212940027093865,0.214203729166667,0.309532643699598,0.0292716229166667,0.0249738767708333,0.0080734355625,22.65329,22.64513,5.03225503225,4.78277395833333,6.61556770833333,4.02575770833333,2.19028277083333,3.0380225,1.68153710416667,1.95962375,1.95834,2.07179,0.365168,0.521454,0.11337871
"4",4,0.632888381759661,51.93288,-0.53925775,-0.86319525,-1.4551775,1.89821854166667,29.0139,63.423875,363.50375,41.745025,0.122689113583333,1.50019743044127,0.215679332117449,0.214024875,0.309532514623584,0.065534120625,0.0474194308958333,0.00937643898958333,22.6532933333333,22.64513,5.03225503225,4.753414375,6.59127333333333,3.9730075,2.17966895833333,3.004069375,1.68860627083333,1.92600020833333,1.95834,2.07179,0.3651676875,0.521454,0.11337871
"5",5,0.957553992639123,52.17908,-0.557299,-0.8646625,-1.6821775,1.89552395833333,28.8313,61.770725,365.16725,40.729125,0.191401663145833,2.44239251568604,0.214715237614445,0.2136515,0.309532454916991,0.101210255833333,0.0770385039583333,0.0127719549583333,22.6556685416667,22.64513,5.03225503225,4.72538854166667,6.56252229166667,3.92134958333333,2.16846820833333,2.98131354166667,1.6954690625,1.90125666666667,1.95834,2.071850625,0.365185270833333,0.521439208333333,0.113375347916667
"6",6,1.17039217085205,52.3025,-0.58888675,-0.88199,-1.6647575,1.889936875,28.879175,60.840925,366.49675,34.1433,0.218036818125,2.51151225971764,0.212479586976882,0.2131221875,0.309532358321067,0.11189927,0.091221052875,0.0149353502291667,22.6642004166667,22.64513,5.03225503225,4.701169375,6.53146729166667,3.87102979166667,2.14909654166667,2.961688125,1.70254216666667,1.883024375,1.95834,2.07207270833333,0.3652530625,0.521383583333333,0.113363063125
"7",7,1.45377704600817,52.50116,-0.62723275,-0.9081715,-1.6894525,1.8813525,28.6133,60.192375,367.5975,27.871975,0.226925108333333,2.46523041284166,0.210115698117195,0.21251875,0.30953225424883,0.1110518275,0.100027115625,0.0158462343125,22.678189375,22.64513,5.03225503225,4.678261875,6.498573125,3.82237979166667,2.12880789583333,2.94539270833333,1.71076260416667,1.86748833333333,1.95834,2.0724375,0.365365229166667,0.5212915,0.11334339875
"8",8,1.21305822820403,52.99872,-0.66562425,-0.930226,-1.6045025,1.86667604166667,28.139425,59.569175,368.575,29.8577,0.200305545833333,2.39948841269777,0.207972313240226,0.211877354166667,0.309532137481111,0.0889054625,0.098291025,0.01616888875,22.6937964583333,22.64513,5.03225503225,4.652750625,6.46486354166667,3.77572604166667,2.11958885416667,2.929274375,1.71865916666667,1.85074791666667,1.95834,2.07285020833333,0.365491479166667,0.521187708333333,0.113320678333333
"9",9,0.661828651974915,53.6559,-0.69051275,-0.92298225,-1.4298225,1.85525104166667,27.658825,58.959575,369.556,39.38045,0.0990610510416667,1.59792236685758,0.206666598093985,0.211392354166667,0.309532030795799,0.0357858189583333,0.0559031129166667,0.011402080625,22.7009820833333,22.64513,5.03225503225,4.62316583333333,6.42933979166667,3.73021895833333,2.11847710416667,2.91870708333333,1.72585314583333,1.828861875,1.95834,2.07304270833333,0.365550708333333,0.521139104166667,0.113309842916667
"10",10,0.509762086509096,54.10916,-0.68867675,-0.93068425,-1.2918025,1.85852583333333,26.9182,58.174575,370.5345,35.6498,0.0694845909583333,0.960839869787719,0.207692756738024,0.2111129375,0.3095321966418,0.0239729522916667,0.0393583533333333,0.00856067139583333,22.701588125,22.64513,5.03225503225,4.5911775,6.39248583333333,3.684748125,2.12057775,2.91148770833333,1.732360875,1.80713791666667,1.95834,2.07306,0.365556,0.521135,0.1133092
